Time [s],Altitude [ft.],Altitude [m],Pressure [mBar],Velocity [m/s],Temperature [°C],Events,Voltages [V]
0,0.00004,0.000,858.7,0,36.5,-,8.829249
0.05,1.903136,0.580,858.5,1.814286,36.5,-,8.829249
0.1,3.806591,1.160,858.3,3.628572,36.5,-,8.829249
0.15,6.662157,2.031,858,6.342743,36.5,-,8.829249
0.2,10.47122,3.192,857.6,9.971314,36.5,-,8.829249
0.25,13.32868,4.063,857.3,12.68549,36.5,-,8.829249
0.3,16.18694,4.934,857,15.41417,36.5,-,8.829249
0.35,19.9996,6.096,856.6,19.04274,36.5,-,8.829249
0.4,24.76717,7.549,856.1,23.58571,36.5,-,8.829249
0.45,28.5825,8.712,855.7,27.21428,36.5,-,8.829249
0.5,33.35413,10.166,855.2,31.75726,36.5,-,8.829249
0.55,37.17329,11.330,854.8,35.40034,36.5,-,8.829249
0.6,44.81538,13.660,854,42.672,36.5,-,8.829249
0.65,50.55061,15.408,853.4,48.12937,36.5,-,8.829249
0.7,56.28968,17.157,852.8,53.60126,36.5,-,8.829249
0.75,61.07445,18.615,852.3,58.15874,36.5,-,8.829249
0.8,67.77706,20.658,851.6,64.54503,36.5,-,8.829249
0.85,73.52538,22.411,851,70.01691,36.5,-,8.829249
0.9,80.23628,24.456,850.3,76.4032,36.5,-,8.829249
0.95,86.95166,26.503,849.6,82.80399,36.5,-,8.829249
1,95.5918,29.136,848.7,91.03359,36.5,-,8.829249
1.05,102.3174,31.186,848,97.43439,36.5,-,8.829249
1.1,110.9714,33.824,847.1,103.8642,36.5,-,8.829249
1.15,119.6322,36.464,846.2,110.2941,36.5,-,8.829249
1.2,128.301,39.106,845.3,115.8385,36.5,-,8.829249
1.25,136.9767,41.750,844.4,120.4686,36.5,-,8.829249
1.3,146.6256,44.691,843.4,126.9419,36.5,-,8.829249
1.35,156.2838,47.635,842.4,133.4153,36.5,-,8.829249
1.4,164.9843,50.287,841.5,138.0744,36.5,-,8.829249
1.45,172.7241,52.646,840.7,140.9047,36.5,-,8.829249
1.5,182.4073,55.598,839.7,146.4927,36.5,-,8.848697
