# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s);Total velocity (m/s);Total acceleration (m/s);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction ();Lateral velocity (m/s);Lateral acceleration (m/s);Latitude ();Longitude ();Gravitational acceleration (m/s);Angle of attack ();Roll rate (/s);Pitch rate (/s);Yaw rate (/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kgm);Rotational moment of inertia (kgm);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s);Reference length (mm);Reference area (m);Vertical orientation (zenith) ();Lateral orientation (azimuth) ();Wind velocity (m/s);Air temperature (C);Air pressure (Pa);Speed of sound (m/s);Simulation time step (s);Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0099024;633789;3.82;-8.0765e-6;0.85554;-2.453e-4;0.57755;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.0091664
2e-3;0;0;-9.3053;0;9.3452;0;0;0;0;0;0.86323;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098984;633534;3.86;-8.0705e-6;0.85559;-2.4531e-4;0.5776;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.012929
4e-3;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098944;633279;3.9;-8.0644e-6;0.85564;-2.4533e-4;0.57765;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.016645
6e-3;0;0;-9.297;0;9.337;0;0;0;0;0;0.86246;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098904;633024;3.94;-8.0584e-6;0.85569;-2.4534e-4;0.5777;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.026212
8e-3;0;0;-9.2929;0;9.3328;0;0;0;0;0;0.86208;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098864;632769;3.98;-8.0523e-6;0.85574;-2.4535e-4;0.57775;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.0292
0.01;0;0;-9.2888;0;9.3287;0;0;0;0;0;0.8617;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098825;632514;4.02;-8.0463e-6;0.85578;-2.4537e-4;0.57779;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.031847
0.012;0;0;-9.2847;0;9.3245;0;0;0;0;0;0.86131;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0098785;632259;4.06;-8.0403e-6;0.85583;-2.4538e-4;0.57784;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.034414
0.014;0;0;-9.2806;0;9.3204;0;0;0;0;0;0.86093;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098745;632004;4.1;-8.0343e-6;0.85588;-2.4539e-4;0.57789;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.037869
0.016;0;0;-9.2764;0;9.3163;0;0;0;0;0;0.86055;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098705;631749;4.14;-8.0282e-6;0.85593;-2.4541e-4;0.57794;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.041196
0.018;0;0;-9.2723;0;9.3121;0;0;0;0;0;0.86017;-23.364;-48;9.7864;92.806;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0098665;631494;4.18;-8.0222e-6;0.85598;-2.4542e-4;0.57799;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;93133;347.48;2e-3;0.044135
