Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²);Total velocity (m/s);Total acceleration (m/s²);Position East of launch (m);Position North of launch (m);Lateral distance (m);Lateral direction (°);Lateral velocity (m/s);Lateral acceleration (m/s²);Latitude (°);Longitude (°);Gravitational acceleration (m/s²);Angle of attack (°);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s);Mass (g);Propellant mass (g);Longitudinal moment of inertia (kg·m²);Rotational moment of inertia (kg·m²);CP location (mm);CG location (mm);Stability margin calibers (?);Mach number (?);Reynolds number (?);Thrust (N);Drag force (N);Drag coefficient (?);Axial drag coefficient (?);Friction drag coefficient (?);Pressure drag coefficient (?);Base drag coefficient (?);Normal force coefficient (?);Pitch moment coefficient (?);Yaw moment coefficient (?);Side force coefficient (?);Roll moment coefficient (?);Roll forcing coefficient (?);Roll damping coefficient (?);Pitch damping coefficient (?);Coriolis acceleration (m/s²);Reference length (mm);Reference area (m²);Vertical orientation (zenith) (°);Lateral orientation (azimuth) (°);Wind velocity (m/s);Air temperature (°C);Air pressure (mbar);Speed of sound (m/s);Simulation time step (s);Computation time (s)
0;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091748;587221;3.82;0;0.86481;-4.7895e-8;0.58682;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0018227
2e-3;0;0;-9.3053;0;9.3452;0;0;0;0;0;0.86323;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.009177;587360;3.86;0;0.86478;-4.7893e-8;0.58679;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0031404
4e-3;0;0;-9.3012;0;9.3411;0;0;0;0;0;0.86284;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091791;587499;3.9;0;0.86475;-4.7892e-8;0.58676;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0035597
6e-3;0;0;-9.297;0;9.337;0;0;0;0;0;0.86246;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091813;587638;3.94;0;0.86472;-4.789e-8;0.58673;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0037424
8e-3;0;0;-9.2929;0;9.3328;0;0;0;0;0;0.86208;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091835;587778;3.98;0;0.86469;-4.7888e-8;0.5867;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0039069
0.01;0;0;-9.2888;0;9.3287;0;0;0;0;0;0.8617;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091857;587917;4.02;0;0.86466;-4.7887e-8;0.58668;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0040747
0.012;0;0;-9.2847;0;9.3245;0;0;0;0;0;0.86131;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1410;6.1691;0.014993;NaN;1497.2;NaN;0.0091878;588056;4.06;0;0.86463;-4.7885e-8;0.58665;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0042628
0.014;0;0;-9.2806;0;9.3204;0;0;0;0;0;0.86093;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.00919;588195;4.1;0;0.86461;-4.7883e-8;0.58662;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0044346
0.016;0;0;-9.2764;0;9.3163;0;0;0;0;0;0.86055;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0091922;588334;4.14;0;0.86458;-4.7882e-8;0.58659;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0046677
0.018;0;0;-9.2723;0;9.3121;0;0;0;0;0;0.86017;-23.364;-48;9.7864;90.161;0;0;0;9666.4;1409.9;6.1691;0.014993;NaN;1497.2;NaN;0.0091944;588473;4.18;0;0.86455;-4.788e-8;0.58656;0.15798;0.12001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80.9;0.0051403;84.7;37;NaN;26.702;931.33;347.48;2e-3;0.0048698
